gender,num_of_module_created,num_of_modules_thirty_sec,num_of_problens,num_of_video,num_of_problem_uploads,average_grade,seventy_uploads,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,Grand_Total
1,5,1,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,6
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,53,31,25,8,11.0,0.98,0,1,0,0,0,0,0,0,0,0,1,54
1,174,167,86,30,85.0,1.0,1,1,1,0,0,1,1,1,1,1,1,176
2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,13,4,5,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,14
1,4,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
1,26,3,12,1,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,27
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
2,174,121,87,32,42.0,0.95,0,1,1,0,0,1,1,1,1,1,1,175
1,8,1,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,9
1,168,104,87,29,39.0,0.99,0,1,1,0,0,1,0,1,1,1,1,169
1,46,25,22,6,8.0,1.0,0,0,0,0,0,0,0,0,1,1,1,47
1,79,62,37,12,29.0,0.99,0,1,0,0,0,0,1,0,1,1,1,80
1,10,5,2,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,11
2,29,16,11,4,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,30
1,29,13,11,5,2.0,0.94,0,0,0,0,0,0,0,0,0,0,1,30
1,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
1,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
2,114,68,63,9,34.0,1.0,0,1,0,0,0,1,0,0,1,1,0,115
1,173,142,86,30,61.0,1.0,1,1,1,0,0,1,1,1,1,1,1,175
2,76,54,37,15,18.0,1.0,0,1,0,0,0,0,0,0,1,1,1,77
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,43,17,19,1,7.0,1.0,0,0,0,0,0,0,0,0,0,1,1,44
1,7,2,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8
1,96,33,50,14,6.0,0.98,0,0,1,0,0,1,0,1,1,1,1,97
1,24,15,7,4,3.0,0.88,0,0,0,0,0,0,0,0,0,0,1,25
1,173,159,86,30,81.0,1.0,1,1,1,0,0,1,1,1,1,1,1,175
1,11,1,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12
1,9,0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,10
1,36,13,13,6,1.0,1.0,0,0,0,0,0,0,1,0,0,1,1,37
2,22,7,7,3,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,23
1,148,108,76,24,48.0,1.0,0,1,0,0,0,1,1,1,1,1,1,149
1,41,13,20,4,1.0,1.0,0,0,0,0,0,0,0,0,1,1,1,42
2,70,32,39,6,12.0,0.97,0,0,1,0,0,0,0,1,0,1,0,71
1,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
1,49,29,22,6,13.0,1.0,0,0,0,0,0,0,1,0,1,1,1,50
1,42,22,19,6,7.0,0.97,0,0,0,0,0,0,0,0,0,1,1,43
2,6,3,2,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,7
1,42,25,19,6,7.0,1.0,0,0,0,0,0,0,0,0,0,1,1,43
2,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
1,65,54,34,11,27.0,1.0,0,1,0,0,0,0,0,0,1,1,1,66
1,24,6,9,2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,25
1,23,14,7,4,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
1,159,141,79,28,68.0,1.0,1,1,0,0,0,1,1,1,1,1,1,160
1,38,6,18,4,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,39
1,116,40,60,20,10.0,0.88,0,1,0,0,0,1,0,0,1,1,1,117
2,24,16,7,3,6.0,0.94,0,0,0,0,0,0,0,0,0,0,1,25
1,108,84,55,22,34.0,1.0,0,1,0,0,0,0,0,0,1,1,1,109
1,10,5,2,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,11
1,13,3,5,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,14
1,32,16,11,5,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,33
1,26,11,11,3,2.0,0.81,0,0,0,0,0,0,0,0,0,0,1,27
1,19,5,10,2,2.0,1.0,0,0,0,0,0,0,0,1,0,0,0,20
1,24,14,7,4,4.0,0.88,0,0,0,0,0,0,0,0,0,0,1,25
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,31,22,11,6,7.0,1.0,0,0,0,0,0,0,0,0,0,0,1,32
1,24,15,7,3,3.0,0.94,0,0,0,0,0,0,0,0,0,0,1,25
1,31,10,11,4,2.0,1.0,0,0,0,0,0,0,1,0,0,0,1,32
1,120,68,55,17,20.0,1.0,0,1,1,0,0,0,1,0,1,1,1,121
2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,110,76,58,17,31.0,0.87,0,1,0,0,0,1,0,0,1,1,1,111
1,20,1,9,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,21
1,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
1,48,34,22,11,10.0,0.98,0,0,0,0,0,0,0,0,1,1,1,49
1,47,16,20,6,4.0,1.0,0,0,0,0,0,0,1,0,1,1,0,48
1,31,16,11,6,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,32
2,23,3,9,1,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,24
1,6,2,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,7
1,48,39,22,9,17.0,1.0,0,0,0,0,0,0,0,0,1,1,1,49
1,8,3,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9
1,167,127,85,29,53.0,1.0,0,1,1,0,0,1,0,1,1,1,1,168
1,23,11,7,5,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
1,154,110,79,22,49.0,0.97,0,1,0,0,0,1,0,1,1,1,1,155
1,23,12,7,4,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
1,73,61,36,13,28.0,1.0,0,1,0,0,0,0,0,0,1,1,1,74
1,11,2,3,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12
1,20,7,7,2,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,21
1,12,3,2,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,13
1,112,82,57,19,33.0,0.95,0,1,0,0,0,0,0,0,1,1,1,113
1,9,1,2,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,10
1,32,18,11,7,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,33
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,18,11,4,4,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,19
1,8,2,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9
1,126,118,63,22,63.0,1.0,1,1,0,0,0,1,1,0,1,1,1,127
1,18,1,7,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,19
1,9,5,2,1,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,10
2,16,7,7,3,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,17
1,54,37,24,7,15.0,0.99,0,0,0,0,0,0,0,0,1,1,1,55
1,20,7,7,0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,21
1,19,2,6,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,1,20
1,19,4,8,0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,20
1,8,1,2,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,9
1,173,133,86,31,54.0,1.0,0,1,1,0,0,1,1,1,1,1,1,175
1,22,11,7,5,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,23
1,23,7,9,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,24
1,4,2,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
1,25,15,7,4,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,26
1,43,12,21,4,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,44
2,137,115,69,26,51.0,1.0,0,1,0,0,0,1,0,0,1,1,1,138
1,23,17,7,5,5.0,0.88,0,0,0,0,0,0,0,0,0,0,1,24
2,49,36,22,10,12.0,1.0,0,0,0,0,0,0,1,0,1,1,1,50
1,4,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,5
1,47,27,21,7,10.0,1.0,0,0,0,0,0,0,0,0,0,1,1,48
2,174,127,87,29,51.0,1.0,0,1,1,0,0,1,1,1,1,1,1,176
1,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4
1,45,10,22,6,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,46
1,166,125,86,23,58.0,1.0,0,1,1,0,0,1,1,1,1,1,0,167
1,23,14,7,5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,24
1,44,33,22,6,17.0,0.98,0,0,0,0,0,0,0,0,1,1,1,45
2,4,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
1,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
1,17,7,5,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,18
2,173,134,86,31,51.0,1.0,0,1,1,0,0,1,1,1,1,1,1,174
1,23,11,7,2,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,24
1,34,11,13,6,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,35
1,30,13,11,3,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,31
1,44,31,18,8,12.0,0.93,0,0,0,0,0,0,0,0,0,0,1,45
1,16,0,6,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,17
1,173,127,86,29,53.0,1.0,0,1,1,0,0,1,1,1,1,1,1,175
1,36,7,13,2,1.0,1.0,0,0,0,0,0,0,0,0,1,0,1,37
2,48,35,24,6,17.0,1.0,0,0,0,0,0,0,0,0,1,1,1,49
1,77,56,37,14,22.0,1.0,0,1,0,0,0,0,0,0,1,1,1,78
1,80,29,38,11,8.0,1.0,0,0,0,0,0,1,0,0,1,1,1,81
1,64,49,29,12,18.0,0.97,0,0,0,0,0,0,0,0,1,1,1,65
2,12,3,4,2,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,13
1,17,4,4,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,18
2,22,4,9,0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,1,23
2,72,52,36,13,19.0,0.97,0,1,0,0,0,0,0,0,1,1,1,73
1,57,37,25,8,13.0,0.83,0,0,0,0,0,0,0,0,1,1,1,58
2,32,8,13,4,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,33
1,14,2,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,15
1,17,4,5,0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,18
1,4,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,5
1,29,17,11,5,6.0,1.0,0,0,0,0,0,0,0,0,0,0,1,30
1,20,10,7,3,2.0,0.0,0,0,0,0,0,0,0,0,0,0,1,21
2,20,11,9,1,6.0,1.0,0,0,0,0,0,1,0,0,0,0,0,21
